Date;AI.PA;AIR.PA;ALO.PA;MT.AS;CS.PA;BNP.PA;EN.PA;CAP.PA;CA.PA;ACA.PA;BN.PA;DSY.PA;ENGI.PA;EL.PA;ERF.PA;RMS.PA;KER.PA;OR.PA;LR.PA;MC.PA;ML.PA;ORA.PA;RI.PA;PUB.PA;RNO.PA;SAF.PA;SGO.PA;SAN.PA;SU.PA;GLE.PA;STLA.PA;STM.PA;TEP.PA;HO.PA;TTE.PA;URW.AS;VIE.PA;DG.PA;VIV.PA;WLN.PA
2006-11-06;32.92756271362305;16.407947540283203;28.01427459716797;45.89639663696289;9.001265525817871;42.358436584472656;21.324317932128906;31.70935821533203;32.303466796875;-19.28462791442871;35.128543853759766;3.747675657272339;12.954541206359863;33.101375579833984;4.230302333831787;69.19092559814453;68.23916625976562;58.65070724487305;14.833086013793945;58.889530181884766;39.4997444152832;7.434610366821289;57.431644439697266;19.147266387939453;58.5681266784668;13.371538162231445;34.77791976928711;36.358558654785156;26.256513595581055;58.03047180175781;;7.5738444328308105;22.394420623779297;25.609455108642578;21.815563201904297;67.33688354492188;25.138385772705078;25.843250274658203;12.409384727478027;
2006-11-07;33.10157012939453;15.907472610473633;27.884063720703125;45.282588958740234;9.301308631896973;42.95433807373047;21.58895492553711;32.4846305847168;32.771156311035156;-19.508071899414062;35.1889533996582;3.809054374694824;13.123514175415039;33.101375579833984;4.169622421264648;70.18350219726562;68.52903747558594;58.763057708740234;14.495973587036133;60.270877838134766;39.7150764465332;7.401823997497559;57.21816635131836;18.86684226989746;58.75615310668945;13.356388092041016;34.95780563354492;36.740989685058594;26.59872055053711;58.969337463378906;;7.752836227416992;22.394420623779297;26.01407241821289;21.896060943603516;68.49990844726562;25.15921401977539;25.886445999145508;12.231696128845215;
2006-11-08;33.46894073486328;16.423351287841797;27.716642379760742;45.40814971923828;9.301308631896973;42.95433807373047;21.742170333862305;32.69416046142578;32.86337661743164;-19.525259017944336;35.128543853759766;3.8046069145202637;13.179835319519043;33.02189254760742;4.14361572265625;72.49950408935547;69.05084228515625;59.47466278076172;14.158855438232422;59.61655807495117;39.62279510498047;7.267050266265869;57.431644439697266;18.945096969604492;59.41421127319336;13.363965034484863;34.65800476074219;36.22197341918945;26.396509170532227;58.969337463378906;;7.719274520874023;22.316926956176758;25.92337989807129;22.057064056396484;68.73248291015625;25.492589950561523;25.785661697387695;12.161447525024414;
2006-11-09;33.352928161621094;16.608139038085938;27.753849029541016;46.21726989746094;9.001265525817871;42.70603942871094;21.644670486450195;31.618562698364258;32.80409622192383;-19.399213790893555;35.491004943847656;3.7868151664733887;13.244207382202148;32.94242477416992;4.117610931396484;73.49208068847656;69.3987045288086;59.02522659301758;14.158855438232422;59.507503509521484;39.46897506713867;7.256121635437012;57.46723937988281;19.07552719116211;59.727596282958984;13.629121780395508;34.56806182861328;36.41319274902344;26.1320743560791;58.56696319580078;;7.758431434631348;22.781869888305664;26.035001754760742;22.399187088012695;68.81004333496094;25.570724487304688;25.771259307861328;12.273019790649414;
2006-11-10;33.46894073486328;16.90842628479004;28.181686401367188;46.24516296386719;9.001265525817871;42.755706787109375;21.40324592590332;31.960800170898438;32.59988021850586;-19.14139747619629;35.85346603393555;3.756571054458618;13.385016441345215;32.82320785522461;4.065598964691162;70.05943298339844;68.99287414550781;58.23870849609375;14.19256591796875;59.10761642456055;39.59202575683594;7.197839260101318;56.96907043457031;18.932052612304688;59.28886795043945;13.386691093444824;34.56806182861328;35.94880676269531;26.365394592285156;58.701080322265625;;7.6297783851623535;22.704376220703125;26.028024673461914;22.499805450439453;68.965087890625;25.628023147583008;25.972827911376953;12.363931655883789;
2006-11-13;33.6816291809082;17.10861587524414;30.56271743774414;46.74737548828125;9.001265525817871;43.15296936035156;21.825735092163086;32.58940124511719;33.001705169677734;-19.485153198242188;36.3669548034668;3.7779202461242676;13.324670791625977;33.3000602722168;4.02225399017334;70.34893798828125;69.28275299072266;59.24995040893555;14.327413558959961;60.30721664428711;40.29957580566406;7.285261631011963;57.5028190612793;18.977705001831055;60.1976318359375;13.485179901123047;35.137691497802734;36.358558654785156;26.349842071533203;58.969337463378906;;7.713684558868408;22.936843872070312;26.362882614135742;22.4193115234375;68.61620330810547;25.74782943725586;26.34716033935547;12.310214042663574;
2006-11-14;33.41094207763672;16.954626083374023;29.688434600830078;46.06381607055664;9.001265525817871;42.95433807373047;21.644670486450195;32.659244537353516;32.705284118652344;-19.685678482055664;35.9440803527832;3.802828550338745;13.175814628601074;33.18083953857422;4.0829362869262695;69.1495590209961;69.28275299072266;59.1750373840332;14.327413558959961;60.416290283203125;41.314754486083984;7.25247859954834;56.862327575683594;19.049442291259766;59.79025650024414;13.333661079406738;35.28759765625;36.49514389038086;26.396509170532227;58.65637969970703;;7.719274520874023;22.859355926513672;26.139644622802734;22.519939422607422;68.49990844726562;25.753036499023438;26.246376037597656;12.21103572845459;
2006-11-15;33.604286193847656;17.208711624145508;30.618518829345703;45.68714904785156;9.001265525817871;42.805355072021484;21.728240966796875;33.50436782836914;32.705284118652344;-19.846092224121094;36.21592330932617;3.849973201751709;13.421225547790527;33.61796188354492;4.230302333831787;68.65327453613281;69.80455017089844;59.51210403442383;14.489229202270508;60.816158294677734;41.46857833862305;7.3471879959106445;58.37004852294922;19.284215927124023;60.79302215576172;13.409421920776367;36.876583099365234;36.41319274902344;26.505386352539062;58.65637969970703;;7.965397357940674;23.01433753967285;25.902456283569336;22.64068031311035;69.58536529541016;26.03952980041504;26.69269371032715;12.330875396728516;
2006-11-16;33.894309997558594;17.408905029296875;31.5858097076416;45.05938720703125;9.001265525817871;41.96116256713867;21.80252456665039;33.762786865234375;32.178306579589844;-19.674217224121094;35.642024993896484;3.89445161819458;13.545945167541504;33.538482666015625;4.108941078186035;68.1156234741211;69.68858337402344;59.1375732421875;14.43529224395752;60.88883972167969;41.83773422241211;7.416397571563721;59.30338668823242;19.284215927124023;61.32574462890625;13.462451934814453;36.30695724487305;36.276607513427734;26.349842071533203;58.25400161743164;;8.004554748535156;22.859355926513672;26.223352432250977;22.399187088012695;70.55450439453125;26.070783615112305;26.707094192504883;12.34740161895752;
2006-11-17;33.58494186401367;17.347307205200195;31.009157180786133;44.0828742980957;9.001265525817871;41.563907623291016;21.356813430786133;33.05735397338867;32.13878631591797;-19.571088790893555;35.400386810302734;3.8473048210144043;13.336743354797363;33.538482666015625;4.074265956878662;68.52920532226562;69.3987045288086;58.875396728515625;14.36786937713623;60.99790954589844;41.28400421142578;7.383613586425781;59.48286056518555;19.29073715209961;60.2916374206543;13.14426326751709;36.21701431274414;36.11270523071289;25.46321678161621;57.8963508605957;;7.8926801681518555;22.781869888305664;26.2861385345459;22.26424789428711;69.54656982421875;26.148916244506836;26.606311798095703;12.401121139526367;
